VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
VEH1,CD1,127,CD1-C17-C24-C16-C10-C13-C2-C23-C14-CD1,8,25-11-10-15-21-15-15-15,167.95,0,509241.19499999995
VEH2,CD1,175,CD1-C5-C8-C11-C9-C18-C6-C19-C7-C21-C12-C20-CD1,11,20-20-17-20-12-17-11-17-14-12-15,205.93,0,624400.353
VEH3,CD1,75,CD1-C3-C22-C15-C1-C4-CD1,5,12-18-17-13-15,85.89999999999999,0,260457.38999999996
VEH4,CD1,0,0,0,0,0.0,0,0.0
VEH5,CD1,0,0,0,0,0.0,0,0.0
VEH6,CD1,0,0,0,0,0.0,0,0.0
VEH7,CD1,0,0,0,0,0.0,0,0.0
VEH8,CD1,0,0,0,0,0.0,0,0.0
